Published_time,news_content,news_headline
2023-04-05 18:02:00,"Theo dấu dòng tiền cá mập 05/04: Khối ngoại mua ròng trở lại: Sau 1 phiên cùng nhau bán ròng, tự doanh công ty chứng khoán và khối ngoại đã có động thái trái ngược nhau trong phiên 05/04.",Theo dấu dòng tiền cá mập 05/04: Khối ngoại mua ròng trở lại
2023-04-05 11:14:00,"Lỗ 2 năm liền, SCD bị chuyển sang diện kiểm soát: HOSE vừa có quyết định chuyển cổ phiếu SCD của CTCP Nước giải khát Chương Dương từ diện cảnh báo sang diện kiểm soát kể từ ngày 11/04/2023.","Lỗ 2 năm liền, SCD bị chuyển sang diện kiểm soát"
2023-04-04 16:00:00,"VNDirect: Chứng khoán Việt Nam đã ở cuối chu kỳ suy thoái: Theo báo cáo La bàn đầu tư của CTCK VNDirect, thị trường chứng khoán Việt Nam đang ở cuối chu kỳ suy thoái. VNDirect kỳ vọng tháng 4, VN-Index dao...",VNDirect: Chứng khoán Việt Nam đã ở cuối chu kỳ suy thoái
2023-04-04 08:26:00,"CII lên kế hoạch phát hành 4,500 tỷ trái phiếu chuyển đổi: Tại ĐHĐCĐ thường niên 2023 sắp được tổ chức tới đây, ban lãnh đạo CTCP Đầu tư Hạ tầng Kỹ thuật TPHCM (HOSE: CII) sẽ trình cổ đông thông qua hai gói...","CII lên kế hoạch phát hành 4,500 tỷ trái phiếu chuyển đổi"
2023-04-03 17:07:00,"Vietstock Daily 04/04/2023: Xu hướng tăng được củng cố: Mười phiên tăng điểm liên tiếp của VN-Index và sự xuất hiện mẫu hình nến Rising Window đã cho thấy tâm lý lạc quan của nhà đầu tư. Mặt khác, khối...",Vietstock Daily 04/04/2023: Xu hướng tăng được củng cố
2023-04-03 06:00:00,03/04: Đọc gì trước giờ giao dịch chứng khoán? : Khởi đầu tuần mới với những thông tin nổi bật trong những ngày cuối tuần vừa qua.,03/04: Đọc gì trước giờ giao dịch chứng khoán? 
2023-04-01 08:58:00,[IR AWARDS] Lịch công bố thông tin tháng 04/2023 cần nhớ: Một số sự kiện công bố thông tin định kỳ trên thị trường chứng khoán đáng chú ý trong tháng 04 gồm có công bố PMI và đáo hạn HĐTL VN30F2304.,[IR AWARDS] Lịch công bố thông tin tháng 04/2023 cần nhớ
2023-03-31 11:33:00,"HOSE thêm HAR, HII, NKG vào danh sách không được giao dịch ký quỹ: Trong thông báo ngày 30/03/2023, Sở Giao dịch Chứng khoán TPHCM (HOSE) bổ sung 3 cổ phiếu vào diện không đủ điều kiện giao dịch ký quỹ gồm HAR của...","HOSE thêm HAR, HII, NKG vào danh sách không được giao dịch ký quỹ"
2023-03-30 18:41:00,"Góc nhìn 31/03: Rung lắc?: Với diễn biến hiện tại, VCBS cho rằng VN-Index nhiều khả năng sẽ tiếp tục rung lắc trong những phiên tới và nếu lực cầu không gia tăng thuyết phục...",Góc nhìn 31/03: Rung lắc?
2023-03-30 13:00:00,"TS. Nguyễn Trí Hiếu: Nền kinh tế có thể vực dậy từ quý 3: Dựa trên các số liệu từ Tổng Cục Thống kê trong quý 1, TS. Nguyễn Trí Hiếu dự báo nền kinh tế có thể tiếp tục khó khăn trong quý 2 và bắt đầu vực dậy...",TS. Nguyễn Trí Hiếu: Nền kinh tế có thể vực dậy từ quý 3
2023-03-29 17:14:00,Vietstock Daily 30/03/2023: Quá trình giằng co sẽ còn tiếp diễn: VN-Index duy trì đà tăng điểm với phiên thứ 7 liên tiếp nhưng khối lượng nằm dưới mức trung bình 20 ngày cho thấy lo ngại của nhà đầu tư về...,Vietstock Daily 30/03/2023: Quá trình giằng co sẽ còn tiếp diễn
2023-03-28 20:00:00,"Thị trường chứng quyền 29/03/2023: Tiếp tục trong vùng giằng co?: Kết thúc phiên giao dịch ngày 28/03/2023, toàn thị trường có 25 mã tăng, 25 mã giảm và 22 mã tham chiếu. Khối ngoại tiếp tục mua ròng với tổng mức...",Thị trường chứng quyền 29/03/2023: Tiếp tục trong vùng giằng co?
2023-03-28 10:00:00,"Ngày 28/03/2023: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock: Các cổ phiếu nóng được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: CTD, DBC, GMD, LCG, NVB, SHB, PDR, TPB, VIC và VJC.",Ngày 28/03/2023: 10 cổ phiếu nóng dưới góc nhìn PTKT của Vietstock
2023-03-27 18:34:00,"Vừa bán thành công 13 triệu cp, Công ty mẹ của Vinaconex đăng ký bán thêm 19.6 triệu cp: Theo thông tin mới công bố, CTCP Đầu tư Pacific Holdings đã bán thành công 13 triệu cp của Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex...","Vừa bán thành công 13 triệu cp, Công ty mẹ của Vinaconex đăng ký bán thêm 19.6 triệu cp"
2023-03-27 13:25:00,"Đồng hồ xa xỉ có đáng để đầu tư trong thời kỳ suy thoái: Đồng hồ xa xỉ có phải lựa chọn đáng đầu tư hay không còn phụ thuộc vào nhiều yếu tố, bao gồm tình trạng sử dụng, sự khan hiếm và những câu chuyện bên...",Đồng hồ xa xỉ có đáng để đầu tư trong thời kỳ suy thoái
2023-03-26 18:00:00,Vietstock Weekly 27-31/03/2023: Rủi ro điều chỉnh rất cao: VN-Index xuất hiện mẫu hình nến gần giống Hammer thị trường đang có cầu tham gia tại vùng giá thấp nhưng khối lượng tương đối thấp cho thấy nhà đầu...,Vietstock Weekly 27-31/03/2023: Rủi ro điều chỉnh rất cao
2023-03-24 17:35:00,"Theo dấu dòng tiền cá mập 24/03: Tự doanh và khối ngoại đồng loạt mua ròng: Trong phiên giao dịch ngày 24/03, tự doanh và khối ngoại đều mua ròng lần lượt là 72.6 tỷ đồng và 73 tỷ đồng.",Theo dấu dòng tiền cá mập 24/03: Tự doanh và khối ngoại đồng loạt mua ròng
2023-03-23 20:00:00,"Thị trường chứng quyền 24/03/2023: Tốt xấu đan xen: Kết thúc phiên giao dịch ngày 23/03/2023, toàn thị trường có 16 mã tăng, 42 mã giảm và 27 mã tham chiếu. Khối ngoại tiếp tục mua ròng với tổng mức...",Thị trường chứng quyền 24/03/2023: Tốt xấu đan xen
2023-03-23 12:22:00,Phân tích kỹ thuật phiên chiều 23/03: Mất đà hồi phục: Các chỉ số chính đều mất đà hồi phục từ phiên trước cho thấy tâm lý nhà đầu tư đã bi quan trở lại. Số lượng mã giảm áp đảo số lượng mã tăng chứng tỏ...,Phân tích kỹ thuật phiên chiều 23/03: Mất đà hồi phục
